Gateway,Role,Guided Project,
Salesforce Sales Development Representative,Sales Development Representative,Create a Customer Satisfaction Survey with Typeform,
Salesforce Sales Development Representative,Sales Development Representative,Create Visually Engaging Presentations using Microsoft Sway,
Salesforce Sales Development Representative,Sales Development Representative,Introduction to CRM with HubSpot,
Salesforce Sales Development Representative,Sales Development Representative,Get Started with HubSpot,
Salesforce Sales Development Representative,Sales Development Representative,Customer Support digital transformation with HubSpot,
Salesforce Sales Development Representative,Sales Development Representative,Enhance Organizational Communications with Slack,
Salesforce Sales Development Representative,Sales Development Representative,Create a Sales Dashboard using Power BI,
Salesforce Sales Development Representative,Sales Development Representative,"Finding, Sorting, & Filtering Data in Microsoft Excel",
Salesforce Sales Development Representative,Sales Development Representative,Build Customizable Sales Presentation Graphics using Canva,
Salesforce Sales Operations,Sales Operations Specialist,Create a Customer Satisfaction Survey with Typeform,
Salesforce Sales Operations,Sales Operations Specialist,"Prepare, Clean, Transform, and Load Data using Power BI",
Salesforce Sales Operations,Sales Operations Specialist,Introduction to CRM with HubSpot,
Salesforce Sales Operations,Sales Operations Specialist,Get Started with HubSpot,
Salesforce Sales Operations,Sales Operations Specialist,Customer Support digital transformation with HubSpot,
Salesforce Sales Operations,Sales Operations Specialist,Create a Sales Dashboard using Power BI,
Salesforce Sales Operations,Sales Operations Specialist,Build Customizable Sales Presentation Graphics using Canva,
Salesforce Sales Operations,Sales Operations Specialist,Analyze Sales Data with LibreOffice Base Queries,
Meta Social Media Marketing,Social Media Marketer,Create digital marketing campaign dashboards in Tableau,
Meta Social Media Marketing,Social Media Marketer,How to integrate Apps into Hootsuite Dashboard,
Meta Social Media Marketing,Social Media Marketer,Create a website with MailChimp,
Meta Social Media Marketing,Social Media Marketer,Visualization for Statistical Analysis,
Meta Social Media Marketing,Social Media Marketer,How to Set a Budget and Schedule for Your Facebook Ad,
Meta Social Media Marketing,Social Media Marketer,Creating a Budget with Microsoft Excel,
Meta Social Media Marketing,Social Media Marketer,ChatGPT for Beginners: Using AI For Market Research,
Akamai Customer Consulting and Support,Solutions Engineer,Command Line in Linux,
Akamai Customer Consulting and Support,Solutions Engineer,Linux: Processes & System Resource Management for DevOps,
Akamai Customer Consulting and Support,Solutions Engineer,Service Management with Linux,
Akamai Customer Consulting and Support,Solutions Engineer,Wireshark for Basic Network Security Analysis,
Akamai Customer Consulting and Support,Solutions Engineer,Data Encryption using AWS KMS From UST,
Akamai Customer Consulting and Support,Solutions Engineer,Monitoring and Troubleshooting Data Storage and Processing,
Akamai Customer Consulting and Support,Solutions Engineer,Files and directories in the Linux filesystem,
Akamai Customer Consulting and Support,Solutions Engineer,Data Management with Azure: Implement Compliance Controls,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Using Covid-19 Data to Make Supply Chain Logistics Decisions in Spreadsheets,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Supply Chain Network Optimization Using MILP on RStudio,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Simulation of Inventory Replenishment Using R Simmer,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Multi-Echelon Inventory Simulation Using R Simmer,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Set up AWS Billing Alerts using AWS Budgets,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Create a Customer Satisfaction Survey with Typeform,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Introduction to Cost Accounting,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Create a Sales Dashboard using Power BI,
Unilever Supply Chain and Logistics Analyst,Supply Chain Analyst,Introduction to Relational Database and SQL,
SAP Technology Consultant,Technology Consultant,Agile Projects: Creating User Stories with Value in Taiga,
SAP Technology Consultant,Technology Consultant,How to create a Jira SCRUM project,
SAP Technology Consultant,Technology Consultant,Change Leadership: Strategic Route Analysis with Miro,
SAP Technology Consultant,Technology Consultant,How to Use The IFE-EFE Matrix for Strategic Analysis,
SAP Technology Consultant,Technology Consultant,Automate tasks and processes with Jira,
SAP Technology Consultant,Technology Consultant,Use Basecamp for Project Management,
SAP Technology Consultant,Technology Consultant,Enhance Organizational Communications with Slack,
SAP Technology Consultant,Technology Consultant,Create a Customer Satisfaction Survey with Typeform,
SAP Technology Consultant,Technology Consultant,Creating a Budget with Microsoft Excel,
Google UX Design,UX Designer,Create a Mockup in Figma,
Google UX Design,UX Designer,Create a website with MailChimp,
Google UX Design,UX Designer,Draw an interactive wireframe in Mockplus,
Google UX Design,UX Designer,Draw an interactive wireframe in Mockplus,
Google UX Design,UX Designer,Communicate UX Research with Empathy Maps in Miro,
Google UX Design,UX Designer,Develop a UX Customer Problem Statement in Miro,
Google UX Design,UX Designer,Generate a User Experience (UX) Onboarding Map in Miro,
Google UX Design,UX Designer,Get Started with User Experience (UX) Design in Miro,
Google UX Design,UX Designer,Prototypes in Figma: Creating an Initial Low Fidelity Design,
